Line id,Arabic text,Translation
,وَتُوَفِّقَنِيْ لِتَأْدِيَتِهَا كَمَا فَرَضْتَ وَأَمَرْتَ بِهِ,And grant me success to perform them as You have ordained and commanded
,عَلَى سُنَّةِ رَسُولِكَ,According to the tradition of Your Messenger
,صَلَوَاتُكَ عَلَيْهِ وَ آلِهِ,Your blessings be upon him and his family
,وَرَحْمَتُكَ وَبَرَكَاتُكَ,And Your mercy and benedictions
,خُضُوعًا وَخُشُوعًا,With humility and reverence
,وَتَشْرَحَ صَدْرِيْ لِإِيتَاءِ الزَّكَاةِ,And expand my chest for giving zakāt
,وَإِعْطَاءِ الصَّدَقَاتِ,And giving charity
,وَبَذْلِ الْمَعْرُوفِ,And doing good deeds
,وَالْإِحْسَانِ إِلَى شِيعَةِ آلِ مُحَمَّدٍ,And being kind to the followers of the family of Muhammad
,عَلَيْهِمُ السَّلاَمُ وَمُوَاسَاتِهِمْ,"Peace be upon them, and helping them"
,وَلَا تَتَوَفَّانِيْ إِلَّا بَعْدَ أَنْ تَرْزُقَنِيْ حَجَّ بَيْتِكَ الْحَرَامِ,And do not cause me to die except after granting me the pilgrimage to Your Sacred House
,وَزِيَارَةَ قَبْرِ نَبِيِّكَ,And visiting the grave of Your Prophet
,وَقُبُورِ الْاَئِمَّةِ عَلَيْهِمُ السَّلاَمُ,"And the graves of the Imams, peace be upon them"
,وَأَسْأَلُكَ يَا رَبِّ تَوْبَةً نَصُوحًا تَرْضَاهَا,"And I ask You, O Lord, for sincere repentance that pleases You"
,وَنِيَّةً تَحْمَدُهَا,And an intention that You praise
,وَعَمَلًا صَالِحًا تَقْبَلُهُ,And righteous deeds that You accept
,وَأَنْ تَغْفِرَ لِيْ وَتَرْحَمَنِيْ إِذَا تَوَفَّيْتَنِي,And that You forgive me and have mercy on me when You cause me to die
,وَتُهَوِّنَ عَلَيَّ سَكَرَاتِ الْمَوْتِ,And ease for me the agonies of death
,وَتَحْشُرَنِيْ فِيْ زُمْرَةِ مُحَمَّدٍ وَ آلِهِ,And resurrect me in the company of Muhammad and his family
,صَلَوَاتُ اللَّهِ عَلَيْهِ وَعَلَيْهِمْ,Allah's blessings be upon him and them
,وَتُدْخِلَنِيْ الْجَنَّةَ بِرَحْمَتِكَ,And admit me to Paradise by Your mercy
,وَتَجْعَلَ دَمْعِيْ غَزِيرًا فِيْ طَاعَتِكَ,And make my tears flow abundantly in Your obedience
,وَعَبْرَتِيْ جَارِيَةً فِيمَا يُقَرِّبُنِيْ مِنْكَ,And my eyes weeping in what brings me closer to You
,وَقَلْبِيْ عَطُوفًا عَلَى أَوْلِيَائِكَ,And my heart affectionate towards Your friends
,وَتَصُونَنِيْ فِيْ هٰذِهِ الدُّنْيَا,And protect me in this world
,مِنَ الْعَاهَاتِ وَالْآفَاتِ,From defects and calamities
,وَالْأَمْرَاضِ الشَّدِيدَةِ,And severe illnesses
,وَالْأَسْقَامِ الْمُزْمِنَةِ,And chronic diseases
,وَجَمِيْعِ أَنْوَاعِ الْبَلاَءِ وَالْحَوَادِثِ,And all types of afflictions and misfortunes
,وَتَصْرِفَ قَلْبِيْ عَنِ الْحَرَامِ,And turn my heart away from the forbidden
,وَتُبَغِّضَ إِلَيَّ مَعَاصِيَكَ,And make Your disobedience hateful to me
,وَتُحَبِّبَ إِلَيَّ الْحَلاَلَ,And make the lawful beloved to me
,وَتَفْتَحَ لِيْ أَبْوَابَهُ,And open its doors for me
,وَتُثَبِّتَ نِيَّتِيْ وَفِعْلِيْ عَلَيْهِ,And make my intention and action firm upon it
,وَتَمُدَّ فِيْ عُمْرِي,And extend my life
,وَتُغْلِقَ أَبْوَابَ الْمِحَنِ عَنِّي,And close the doors of tribulation for me
,وَلَا تَسْلُبَنِيْ مَا مَنَنْتَ بِهِ عَلَيَّ,And do not take away what You have bestowed upon me
,وَلَا تَسْتَرِدَّ شَيْئًا مِمَّا أَحْسَنْتَ بِهِ إِلَيَّ,And do not take back anything that You have granted me
,وَلَا تَنْزِعَ مِنِّيْ النِّعَمَ الَّتِيْ أَنْعَمْتَ بِهَا عَلَيَّ,And do not remove from me the blessings that You have bestowed upon me
,وَتَزِيدَ فِيمَا خَوَّلْتَنِي,And increase what You have given me
,وَتُضَاعِفَهُ أَضْعَافًا مُضَاعَفَةً,And multiply it many times over
,وَتَرْزُقَنِيْ مَالًا كَثِيرًا,And grant me abundant wealth
,وَاسِعًا سَائِغًا,"Ample, pleasant"
,هَنِيئًا نَامِيًا وَافِيًا,"Wholesome, growing, sufficient"
,وَعِزًّا بَاقِيًا كَافِيًا,And lasting honor that is sufficient
,وَجَاهًا عَرِيضًا مَنِيعًا,"And extensive, impregnable prestige"
,وَنِعْمَةً سَابِغَةً عَامَّةً,"And comprehensive, all-encompassing blessings"
,وَتُغْنِيَنِيْ بِذٰلِكَ عَنِ الْمَطَالِبِ الْمُنَكَّدَةِ,And make me independent through this from burdensome pursuits
,وَالْمَوَارِدِ الصَّعْبَةِ,And difficult resources
,وَتُخَلِّصَنِيْ مِنْهَا مُعَافًى,And deliver me from them in good health
,فِيْ دِينِيْ وَنَفْسِيْ وَوَلَدِي,"In my religion, myself, and my children"
,وَمَا أَعْطَيْتَنِيْ وَمَنَحْتَنِي,And what You have given me and granted me
,وَتَحْفَظَ عَلَيَّ مَالِي,And preserve my wealth for me
,وَجَمِيعَ مَا خَوَّلْتَنِي,And all that You have bestowed upon me
,وَتَقْبِضَ عَنِّيْ أَيْدِيَ الْجَبَابِرَةِ,And restrain from me the hands of tyrants
,وَتَرُدَّنِيْ إِلَى وَطَنِي,And return me to my homeland
,وَتُبَلِّغَنِيْ نِهَايَةَ أَمَلِيْ فِيْ دُنْيَايَ وَ آخِرَتِي,And make me attain the fullness of my hope in this world and the hereafter
,وَتَجْعَلَ عَاقِبَةَ أَمْرِيْ مَحْمُودَةً حَسَنَةً سَلِيمَةً,"And make the end of my affairs praiseworthy, good, and sound"
,وَتَجْعَلَنِيْ رَحِيبَ الصَّدْرِ,And make me open-hearted
,وَاسِعَ الْحَالِ,With abundant means
,حَسَنَ الْخُلُقِ,Of good character
,بَعِيدًا مِنَ الْبُخْلِ وَالْمَنْعِ,Far from miserliness and withholding
,وَالنِّفَاقِ وَالْكِذْبِ,And hypocrisy and lying
,وَالْبَهْتِ وَقَوْلِ الزُّورِ,And slander and false testimony
,وَتُرْسِخَ فِيْ قَلْبِيْ مَحَبَّةَ مُحَمَّدٍ وَ آلِ مُحَمَّدٍ وَشِيعَتِهِمْ,And implant in my heart the love of Muhammad and the family of Muhammad and their followers
,وَتَحْرُسَنِيْ يَا رَبِّ فِيْ نَفْسِيْ وَأَهْلِي,"And guard me, O Lord, in myself and my family"
,وَمَالِيْ وَوَلَدِي,And my wealth and my children
,وَأَهْلِ حُزَانَتِيْ وَإِخْوَانِي,And those in my trust and my brothers
,وَأَهْلِ مَوَدَّتِيْ وَذُرِّيَّتِي,And those who love me and my offspring
,بِرَحْمَتِكَ وَجُودِكَ,By Your mercy and generosity
,اَللَّهُمَّ هٰذِهِ حَاجَاتِيْ عِنْدَكَ,"O Allah, these are my needs before You"
,وَقَدِ اسْتَكْثَرْتُهَا لِلُؤْمِيْ وَشُحِّي,And I have considered them numerous due to my baseness and greed
,وَهِيَ عِنْدَكَ صَغِيرَةٌ حَقِيرَةٌ,But they are with You small and insignificant
,وَعَلَيْكَ سَهْلَةٌ يَسِيرَةٌ,And for You easy and simple
,فَأَسْأَلُكَ بِجَاهِ مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,So I ask You by the status of Muhammad and the family of Muhammad
,عَلَيْهِ وَعَلَيْهِمُ السَّلاَمُ عِنْدَكَ,"Peace be upon him and them, with You"
,وَبِحَقِّهِمْ عَلَيْكَ,And by their right upon You
,وَبِمَا أَوْجَبْتَ لَهُمْ,And by what You have obligated for them
,وَبِسَائِرِ أَنْبِيَائِكَ وَرُسُلِكَ,And by all Your prophets and messengers
,وَأَصْفِيَائِكَ وَأَوْلِيَائِكَ,And Your chosen ones and Your guardians
,اَلْمُخْلَصِينَ مِنْ عِبَادِكَ,The sincere ones among Your servants
,وَبِاسْمِكَ الْأَعْظَمِ الْأَعْظَمِ,"And by Your Greatest, Most Great Name"
,لَمَّا قَضَيْتَهَا كُلَّهَا,That You fulfill all of these
,وَأَسْعَفْتَنِيْ بِهَا,And grant them to me
,وَلَمْ تُخَيِّبْ أَمَلِيْ وَرَجَائِي,And do not disappoint my hope and expectation
,اَللَّهُمَّ وَشَفِّعْ صَاحِبَ هٰذَا الْقَبْرِ فِيَّ,"O Allah, let the owner of this grave intercede for me"
,يَا سَيِّدِيْ يَا وَلِيَّ اللَّهِ يَا أَمِيْنَ اللَّهِ,"O my master, O guardian of Allah, O trustee of Allah"
,أَسْأَلُكَ أَنْ تَشْفَعَ لِيْ إِلَى اللَّهِ عَزَّ وَجَلَّ,"I ask you to intercede for me with Allah, the Mighty and Majestic"
,فِيْ هٰذِهِ الْحَاجَاتِ كُلِّهَا,Regarding all these needs
,بِحَقِّ آبَائِكَ الطَّاهِرِينَ,By the right of your purified forefathers
,وَبِحَقِّ أَوْلاَدِكَ الْمُنْتَجَبِينَ,And by the right of your chosen children
,فَإِنَّ لَكَ عِنْدَ اللَّهِ تَقَدَّسَتْ أَسْمَاؤُهُ,"For indeed you have with Allah, whose names are sanctified"
,اَلْمَنْزِلَةَ الشَّرِيفَةَ,An honorable position
,وَالْمَرْتَبَةَ الْجَلِيلَةَ,And an exalted rank
,وَالْجَاهَ الْعَرِيضَ,And extensive influence
,اَللَّهُمَّ لَوْ عَرَفْتُ مَنْ هُوَ أَوْجَهُ عِنْدَكَ,"O Allah, if I knew anyone who has more favor with You"
,مِنْ هٰذَا الْاِمَامِ,Than this Imam
,وَمِنْ آبَاءِهِ وَأَبْنَاءِهِ الطَّاهِرِينَ,And his pure forefathers and descendants
,عَلَيْهِمُ السَّلاَمُ وَالصَّلاَةُ,Peace and blessings be upon them
,لَجَعَلْتُهُمْ شُفَعَائِي,I would have made them my intercessors
,وَقَدَّمْتُهُمْ أَمَامَ حَاجَتِيْ وَطَلِبَاتِيْ هٰذِهِ,And placed them before my need and these requests
,فَاسْمَعْ مِنِّي,So hear me
,وَاسْتَجِبْ لِي,And answer me
,وَافْعَلْ بِيْ مَا أَنْتَ أَهْلُهُ,And do with me what befits You
,يَا أَرْحَمَ الرَّاحِمِيْنَ,O Most Merciful of the merciful
,اَللَّهُمَّ وَمَا قَصُرَتْ عَنْهُ مَسْأَلَتِي,"O Allah, and whatever my request falls short of"
,وَعَجَزَتْ عَنْهُ قُوَّتِي,And my strength is unable to reach
,وَلَمْ تَبْلُغْهُ فِطْنَتِي,And my intelligence does not attain
,مِنْ صَالِحِ دِينِيْ وَدُنْيَايَ وَ آخِرَتِي,"Concerning the welfare of my religion, my world, and my hereafter"
,فَامْنُنْ بِهِ عَلَيَّ,Bestow it upon me
,وَاحْفَظْنِيْ وَاحْرُسْنِي,And preserve me and guard me
,وَهَبْ لِيْ وَاغْفِرْ لِي,And grant me and forgive me
,وَمَنْ أَرَادَنِيْ بِسُوءٍ أَوْ مَكْرُوهٍ,And whoever intends for me evil or harm
,مِنْ شَيْطَانٍ مَرِيدٍ,From a rebellious devil
,أَوْ سُلْطَانٍ عَنِيدٍ,Or obstinate ruler
,أَوْ مُخَالِفٍ فِيْ دِينٍ,Or opponent in religion
,أَوْ مُنَازِعٍ فِيْ دُنْيَا,Or rival in worldly matters
,أَوْ حَاسِدٍ عَلَيَّ نِعْمَةً,Or one who envies me for a blessing
,أَوْ ظَالِمٍ أَوْ بَاغٍ,Or oppressor or transgressor
,فَاقْبِضْ عَنِّيْ يَدَهُ,Restrain his hand from me
,وَاصْرِفْ عَنِّيْ كَيْدَهُ,And turn away his plot from me
,وَاشْغَلْهُ عَنِّيْ بِنَفْسِهِ,And preoccupy him with himself
,وَاكْفِنِيْ شَرَّهُ,And protect me from his evil
,وَشَرَّ أَتْبَاعِهِ وَشَيَاطِينِهِ,And the evil of his followers and his devils
,وَأَجِرْنِيْ مِنْ كُلِّ مَا يَضُرُّنِيْ وَيُجْحِفُ بِي,And save me from all that harms me and oppresses me
,وَأَعْطِنِيْ جَمِيعَ الْخَيْرِ كُلِّهِ,And grant me all goodness
,مِمَّا أَعْلَمُ وَمِمَّا لَا أَعْلَمُ,From what I know and what I do not know
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,وَاغْفِرْ لِيْ وَلِوَالِدَيَّ,And forgive me and my parents
,وَ لِإِخْوَانِيْ وَأَخَوَاتِي,And my brothers and sisters
,وَأَعْمَامِيْ وَعَمَّاتِي,And my paternal uncles and aunts
,وَأَخْوَالِيْ وَخَالَاتِي,And my maternal uncles and aunts
,وَأَجْدَادِيْ وَجَدَّاتِي,And my grandfathers and grandmothers
,وَأَوْلاَدِهِمْ وَذَرَارِيهِمْ,And their children and descendants
,وَأَزْوَاجِيْ وَذُرِّيَاتِي,And my spouses and my offspring
,وَأَقْرِبَائِيْ وَأَصْدِقَائِي,And my relatives and my friends
,وَجِيرَانِيْ وَإِخْوَانِيْ فِيكَ,And my neighbors and my brothers in You
,مِنْ أَهْلِ الشَّرْقِ وَالْغَرْبِ,From the people of the East and the West
,وَلِجَمِيْعِ أَهْلِ مَوَدَّتِي,And for all those who love me
,مِنَ الْمُؤْمِنِيْنَ وَالْمُؤْمِنَاتِ,From the believing men and women
,اَلْأَحْيَاءِ مِنْهُمْ وَالْأَمْوَاتِ,The living among them and the dead
,وَلِجَمِيْعِ مَنْ عَلَّمَنِيْ خَيْرًا,And for all who have taught me good
,أَوْ تَعَلَّمَ مِنِّيْ عِلْمًا,Or learned knowledge from me
,اَللَّهُمَّ أَشْرِكْهُمْ فِيْ صَالِحِ دُعَائِي,"O Allah, include them in the benefits of my supplication"
,وَزِيَارَتِيْ لِمَشْهَدِ حُجَّتِكَ وَوَلِيِّكَ,And my visitation to the shrine of Your proof and Your guardian
,وَأَشْرِكْنِيْ فِيْ صَالِحِ أَدْعِيَتِهِمْ,And include me in the benefits of their supplications
,بِرَحْمَتِكَ يَا أَرْحَمَ الرَّاحِمِيْنَ,"By Your mercy, O Most Merciful of the merciful"
,وَبَلِّغْ وَلِيَّكَ مِنْهُمُ السَّلاَمَ,And convey to Your guardian from them peace
,وَالسَّلاَمُ عَلَيْكَ وَرَحْمَةُ اللَّهِ وَبَرَكَاتُهُ,And peace be upon you and the mercy of Allah and His blessings
,يَا سَيِّدِيْ يَا مَوْلَايَ,"O my master, O my lord"
,صَلَّى اللَّهُ عَلَيْكَ,May Allah bless you
,وَعَلَى رُوحِكَ وَبَدَنِكَ,And your soul and your body
,أَنْتَ وَسِيْلَتِيْ إِلَى اللَّهِ,You are my means to Allah
,وَذَرِيْعَتِيْ إِلَيْهِ,And my pathway to Him
,وَلِيْ حَقُّ مُوَالَاتِيْ وَتَأْمِيلِي,And I have the right of loyalty to you and hope in you
,فَكُنْ شَفِيعِيْ إِلَى اللَّهِ عَزَّ وَجَلَّ,"So be my intercessor with Allah, the Mighty and Majestic"
,فِيْ الْوُقُوفِ عَلَى قِصَّتِيْ هٰذِهِ,In addressing this petition of mine
,وَصَرْفِيْ عَنْ مَوْقِفِيْ هٰذَا بِالنُّجْحِ,And turning me away from this position of mine with success
,بِمَا سَأَلْتُهُ كُلِّهِ بِرَحْمَتِهِ وَقُدْرَتِهِ,"In all that I have asked for, by His mercy and power"
,اَللَّهُمَّ ارْزُقْنِيْ عَقْلًا كَامِلًا,"O Allah, grant me a perfect intellect"
,وَلُبًّا رَاجِحًا,And a sound mind
,وَعِزًّا بَاقِيًا,And lasting honor
,وَقَلْبًا زَكِيًّا,And a pure heart
,وَعَمَلًا كَثِيرًا,And abundant good deeds
,وَأَدَبًا بَارِعًا,And excellent manners
,وَاجْعَلْ ذٰلِكَ كُلَّهُ لِي,And make all of that for me
,وَلَا تَجْعَلْهُ عَلَيَّ,And not against me
,بِرَحْمَتِكَ يَا أَرْحَمَ الرَّاحِمِيْنَ,"By Your mercy, O Most Merciful of the merciful"
