Line id,Arabic text,Translation
,اِشْفَعْ لَنَا عِنْدَ اللَّهِ,Intercede for us with Allah
,يَا اَبَا الْحَسَنِ,O Father of Hassan
,يَا عَلِيَّ بْنَ الْحُسَيْنِ,"O Ali, son of Hussein"
,يَا زَيْنَ الْعَابِدِيْنَ,O Adornment of the Worshippers
,يَا ابْنَ رَسُولِ اللَّهِ,O son of the Messenger of Allah
,يَا حُجَّةَ اللَّهِ عَلَى خَلْقِهِ,O Proof of Allah upon His creation
,يَا سَيِّدَنَا وَمَوْلاَنَا,O our Master and our Guardian
,إِنَّا تَوَجَّهْنَا وَاسْتَشْفَعْنَا,We turn to you and seek your intercession
,وَتَوَسَّلْنَا بِكَ إِلَى اللَّهِ,And we seek your mediation to Allah
,وَقَدَّمْنَاكَ بَيْنَ يَدَيْ حَاجَاتِنَا,And we place you before our needs
,يَا وَجِيهًا عِنْدَ اللَّهِ,O honored one in the presence of Allah
,اِشْفَعْ لَنَا عِنْدَ اللَّهِ,Intercede for us with Allah
,يَا أَبَا جَعْفَرٍ,O Father of Ja'far
,يَا مُحَمَّدَ بْنَ عَلِيٍّ,"O Muhammad, son of Ali"
,أَيُّهَا الْبَاقِرُ,O the one who splits knowledge (Al-Baqir)
,يَا ابْنَ رَسُولِ اللَّهِ,O son of the Messenger of Allah
,يَا حُجَّةَ اللَّهِ عَلَى خَلْقِهِ,O Proof of Allah upon His creation
,يَا سَيِّدَنَا وَمَوْلاَنَا,O our Master and our Guardian
,إِنَّا تَوَجَّهْنَا وَاسْتَشْفَعْنَا,We turn to you and seek your intercession
,وَتَوَسَّلْنَا بِكَ إِلَى اللَّهِ,And we seek your mediation to Allah
,وَقَدَّمْنَاكَ بَيْنَ يَدَيْ حَاجَاتِنَا,And we place you before our needs
,يَا وَجِيهًا عِنْدَ اللَّهِ,O honored one in the presence of Allah
,اِشْفَعْ لَنَا عِنْدَ اللَّهِ,Intercede for us with Allah
,يَا أَبَا عَبْدِ اللَّهِ,O Father of Abdullah
,يَا جَعْفَرَ بْنَ مُحَمَّدٍ,"O Ja'far, son of Muhammad"
,أَيُّهَا الصَّادِقُ,O the Truthful one
,يَا ابْنَ رَسُولِ اللَّهِ,O son of the Messenger of Allah
,يَا حُجَّةَ اللَّهِ عَلَى خَلْقِهِ,O Proof of Allah upon His creation
,يَا سَيِّدَنَا وَمَوْلاَنَا,O our Master and our Guardian
,إِنَّا تَوَجَّهْنَا وَاسْتَشْفَعْنَا,We turn to you and seek your intercession
,وَتَوَسَّلْنَا بِكَ إِلَى اللَّهِ,And we seek your mediation to Allah
,وَقَدَّمْنَاكَ بَيْنَ يَدَيْ حَاجَاتِنَا,And we place you before our needs
,يَا وَجِيهًا عِنْدَ اللَّهِ,O honored one in the presence of Allah
,اِشْفَعْ لَنَا عِنْدَ اللَّهِ,Intercede for us with Allah
,يَا أَبَا الْحَسَنِ,O Father of Hassan
,يَا مُوْسَى بْنَ جَعْفَرٍ,"O Musa, son of Ja'far"
,أَيُّهَا الْكَاظِمُ,O the one who suppresses anger (Al-Kadhim)
,يَا ابْنَ رَسُولِ اللَّهِ,O son of the Messenger of Allah
,يَا حُجَّةَ اللَّهِ عَلَى خَلْقِهِ,O Proof of Allah upon His creation
,يَا سَيِّدَنَا وَمَوْلاَنَا,O our Master and our Guardian
,إِنَّا تَوَجَّهْنَا وَاسْتَشْفَعْنَا,We turn to you and seek your intercession
,وَتَوَسَّلْنَا بِكَ إِلَى اللَّهِ,And we seek your mediation to Allah
,وَقَدَّمْنَاكَ بَيْنَ يَدَيْ حَاجَاتِنَا,And we place you before our needs
,يَا وَجِيهًا عِنْدَ اللَّهِ,O honored one in the presence of Allah
,اِشْفَعْ لَنَا عِنْدَ اللَّهِ,Intercede for us with Allah
,يَا أَبَا الْحَسَنِ,O Father of Hassan
,يَا عَلِيَّ بْنَ مُوسٰى,"O Ali, son of Musa"
,أَيُّهَا الرِّضَا,O the one who is pleasing (Al-Ridha)
,يَا ابْنَ رَسُولِ اللَّهِ,O son of the Messenger of Allah
,يَا حُجَّةَ اللَّهِ عَلَى خَلْقِهِ,O Proof of Allah upon His creation
,يَا سَيِّدَنَا وَمَوْلاَنَا,O our Master and our Guardian
,إِنَّا تَوَجَّهْنَا وَاسْتَشْفَعْنَا,We turn to you and seek your intercession
,وَتَوَسَّلْنَا بِكَ إِلَى اللَّهِ,And we seek your mediation to Allah
,وَقَدَّمْنَاكَ بَيْنَ يَدَيْ حَاجَاتِنَا,And we place you before our needs
,يَا وَجِيهًا عِنْدَ اللَّهِ,O honored one in the presence of Allah
,اِشْفَعْ لَنَا عِنْدَ اللَّهِ,Intercede for us with Allah
,يَا أَبَا جَعْفَرٍ,O Father of Ja'far
,يَا مُحَمَّدَ بْنَ عَلِيٍّ,"O Muhammad, son of Ali"
,أَيُّهَا التَّقِيُّ الْجَوَادُ,O pious and generous one
,يَا ابْنَ رَسُولِ اللَّهِ,O son of the Messenger of Allah
,يَا حُجَّةَ اللَّهِ عَلَى خَلْقِهِ,O Proof of Allah upon His creation
,يَا سَيِّدَنَا وَمَوْلاَنَا,O our Master and our Guardian
,إِنَّا تَوَجَّهْنَا وَاسْتَشْفَعْنَا,We turn to you and seek your intercession
,وَتَوَسَّلْنَا بِكَ إِلَى اللَّهِ,And we seek your mediation to Allah
,وَقَدَّمْنَاكَ بَيْنَ يَدَيْ حَاجَاتِنَا,And we place you before our needs
,يَا وَجِيهًا عِنْدَ اللَّهِ,O honored one in the presence of Allah
,اِشْفَعْ لَنَا عِنْدَ اللَّهِ,Intercede for us with Allah
,يَا أَبَا الْحَسَنِ,O Father of Hassan
,يَا عَلِيَّ بْنَ مُحَمَّدٍ,"O Ali, son of Muhammad"
,أَيُّهَا الْهَادِيْ النَّقِيُّ,"O the Guide, the Pure one"
,يَا ابْنَ رَسُولِ اللَّهِ,O son of the Messenger of Allah
,يَا حُجَّةَ اللَّهِ عَلَى خَلْقِهِ,O Proof of Allah upon His creation
,يَا سَيِّدَنَا وَمَوْلاَنَا,O our Master and our Guardian
,إِنَّا تَوَجَّهْنَا وَاسْتَشْفَعْنَا,We turn to you and seek your intercession
,وَتَوَسَّلْنَا بِكَ إِلَى اللَّهِ,And we seek your mediation to Allah
,وَقَدَّمْنَاكَ بَيْنَ يَدَيْ حَاجَاتِنَا,And we place you before our needs
,يَا وَجِيهًا عِنْدَ اللَّهِ,O honored one in the presence of Allah
,اِشْفَعْ لَنَا عِنْدَ اللَّهِ,Intercede for us with Allah
,يَا أَبَا مُحَمَّدٍ,O Father of Muhammad
,يَا حَسَنَ بْنَ عَلِيٍّ,"O Hassan, son of Ali"
,أَيُّهَا الزَّكِيُّ الْعَسْكَرِيُّ,"O Pure one, the Military one (Al-Askari)"
,يَا ابْنَ رَسُولِ اللَّهِ,O son of the Messenger of Allah
,يَا حُجَّةَ اللَّهِ عَلَى خَلْقِهِ,O Proof of Allah upon His creation
,يَا سَيِّدَنَا وَمَوْلاَنَا,O our Master and our Guardian
,إِنَّا تَوَجَّهْنَا وَاسْتَشْفَعْنَا,We turn to you and seek your intercession
,وَتَوَسَّلْنَا بِكَ إِلَى اللَّهِ,And we seek your mediation to Allah
,وَقَدَّمْنَاكَ بَيْنَ يَدَيْ حَاجَاتِنَا,And we place you before our needs
,يَا وَجِيهًا عِنْدَ اللَّهِ,O honored one in the presence of Allah
,اِشْفَعْ لَنَا عِنْدَ اللَّهِ,Intercede for us with Allah
,يَا وَصِيَّ الْحَسَنِ,O successor of Hassan
,وَالْخَلَفَ الْحُجَّةُ,"And the proof, the successor"
,أَيُّهَا الْقَائِمُ الْمُنْتَظَرُ الْمَهْدِيُّ,"O the awaited one, the rightly guided one (Al-Mahdi)"
,يَا ابْنَ رَسُولِ اللَّهِ,O son of the Messenger of Allah
,يَا حُجَّةَ اللَّهِ عَلَى خَلْقِهِ,O Proof of Allah upon His creation
,يَا سَيِّدَنَا وَمَوْلاَنَا,O our Master and our Guardian
,إِنَّا تَوَجَّهْنَا وَاسْتَشْفَعْنَا,We turn to you and seek your intercession
,وَتَوَسَّلْنَا بِكَ إِلَى اللَّهِ,And we seek your mediation to Allah
,وَقَدَّمْنَاكَ بَيْنَ يَدَيْ حَاجَاتِنَا,And we place you before our needs
,يَا وَجِيهًا عِنْدَ اللَّهِ,O honored one in the presence of Allah
,اِشْفَعْ لَنَا عِنْدَ اللَّهِ,Intercede for us with Allah
,يَا وَجِيهًا عِنْدَ اللَّهِ,O honored one in the presence of Allah
,اِشْفَعْ لَنَا عِنْدَ اللَّهِ,Intercede for us with Allah
,يَا وَجِيهًا عِنْدَ اللَّهِ,O honored one in the presence of Allah
,اِشْفَعْ لَنَا عِنْدَ اللَّهِ,Intercede for us with Allah
,,
,يَا سَادَتِيْ وَمَوَالِيَّ,O my masters and my guardians
,إِنِّي تَوَجَّهْتُ بِكُمْ,I turn to you
,أَئِمَّتِيْ وَعُدَّتِيْ,My Imams and my provisions
,لِيَوْمِ فَقْرِيْ وَحَاجَتِيْ إِلَى اللَّهِ,For the day of my poverty and my need to Allah
,وَتَوَسَّلْتُ بِكُمْ إِلَى اللَّهِ,And I seek your mediation to Allah
,وَاسْتَشْفَعْتُ بِكُمْ إِلَى اللَّهِ,And I seek your intercession with Allah
,فَاشْفَعُوْا لِيْ عِنْدَ اللَّهِ,So intercede for me with Allah
,وَاسْتَنْقِذُونِيْ مِنْ ذُنُوبِىْ عِنْدَ اللَّهِ,And save me from my sins before Allah
,فَإِنَّكُمْ وَسِيْلَتِيْ إِلَى اللَّهِ,For you are my means to Allah
,وَبِحُبِّكُمْ وَبِقُرْبِكُمْ أَرْجُوْ نَجَاةً مِنَ اللَّهِ,"And through love for you and proximity to you, I hope for salvation from Allah"
,فَكُوْنُوْا عِنْدَ اللَّهِ رَجَائِي,So be my hope before Allah
,يَا سَادَتِيْ يَا أَوْلِيَاءَ اللَّهِ,"O my masters, O friends of Allah"
,صَلَّى اللَّهُ عَلَيْهِمْ أَجْمَعِينَ,May Allah's blessings be upon them all
,وَلَعَنَ اللَّهُ أَعْدَاءَ اللَّهِ ظَالِمِيهِمْ,And may Allah curse the enemies of Allah who oppressed them
,مِنَ الْأَوَّلِينَ وَالْآخِرِينَ,From the first to the last
,آمِيْنَ رَبَّ الْعَالَمِيْنَ,"Amen, O Lord of the worlds"
