line id verse number,arabic text,english translation text
[56:73],نَحْنُ جَعَلْنَاهَا تَذْكِرَةً وَمَتَاعًا لِّلْمُقْوِينَ,"It was We who made it a reminder and a boon for the desert-dwellers.
Al Waqi’ah – The Inevitable"
[56:74],فَسَبِّحْ بِاسْمِ رَبِّكَ الْعَظِيمِ,"So celebrate the Name of your Lord, the All-supreme.
Al Waqi’ah – The Inevitable"
[56:75],فَلَا أُقْسِمُ بِمَوَاقِعِ النُّجُومِ,"I swear by the places where the stars set!
Al Waqi’ah – The Inevitable"
[56:76],وَإِنَّهُ لَقَسَمٌ لَّوْ تَعْلَمُونَ عَظِيمٌ,"And indeed it is a great oath, should you know.
Al Waqi’ah – The Inevitable"
[56:77],إِنَّهُ لَقُرْآنٌ كَرِيمٌ,"This is indeed a noble Quran,
Al Waqi’ah – The Inevitable"
[56:78],فِي كِتَابٍ مَّكْنُونٍ,"in a guarded Book
Al Waqi’ah – The Inevitable"
[56:79],لَّا يَمَسُّهُ إِلَّا الْمُطَهَّرُونَ,"—no one touches it except the pure ones—
Al Waqi’ah – The Inevitable"
[56:80],تَنزِيلٌ مِّن رَّبِّ الْعَالَمِينَ,"sent down gradually from the Lord of all the worlds.
Al Waqi’ah – The Inevitable"
[56:81],أَفَبِهَٰذَا الْحَدِيثِ أَنتُم مُّدْهِنُونَ,"What! Do you take lightly this discourse?
Al Waqi’ah – The Inevitable"
[56:82],وَتَجْعَلُونَ رِزْقَكُمْ أَنَّكُمْ تُكَذِّبُونَ,"And make your denial of it your vocation?
Al Waqi’ah – The Inevitable"
[56:83],فَلَوْلَا إِذَا بَلَغَتِ الْحُلْقُومَ,"So when it reaches the throat [of the dying person],
Al Waqi’ah – The Inevitable"
[56:84],وَأَنتُمْ حِينَئِذٍ تَنظُرُونَ,"and at that moment you are looking on [at his bedside]
Al Waqi’ah – The Inevitable"
[56:85],وَنَحْنُ أَقْرَبُ إِلَيْهِ مِنكُمْ وَلَٰكِن لَّا تُبْصِرُونَ,"—and We are nearer to him than you are, though you do not perceive—
Al Waqi’ah – The Inevitable"
[56:86],فَلَوْلَا إِن كُنتُمْ غَيْرَ مَدِينِينَ,"then why do you not restore it, if you are not subject
Al Waqi’ah – The Inevitable"
[56:87],تَرْجِعُونَهَا إِن كُنتُمْ صَادِقِينَ,"[to Divine dispensation], if you are truthful?
Al Waqi’ah – The Inevitable"
[56:88],فَأَمَّا إِن كَانَ مِنَ الْمُقَرَّبِينَ,"Then, if he be of those brought near,
Al Waqi’ah – The Inevitable"
[56:89],فَرَوْحٌ وَرَيْحَانٌ وَجَنَّتُ نَعِيمٍ,"then ease, abundance, and a garden of bliss.
Al Waqi’ah – The Inevitable"
[56:90],وَأَمَّا إِن كَانَ مِنْ أَصْحَابِ الْيَمِينِ,"And if he be of the People of the Right Hand,
Al Waqi’ah – The Inevitable"
[56:91],فَسَلَامٌ لَّكَ مِنْ أَصْحَابِ الْيَمِينِ,"then [he will be told,] ‘Peace be on you, from the People of the Right Hand!’
Al Waqi’ah – The Inevitable"
[56:92],وَأَمَّا إِن كَانَ مِنَ الْمُكَذِّبِينَ الضَّالِّينَ,"But if he be of the impugners, the astray ones,
Al Waqi’ah – The Inevitable"
[56:93],فَنُزُلٌ مِّنْ حَمِيمٍ,"then a treat of boiling water
Al Waqi’ah – The Inevitable"
[56:94],وَتَصْلِيَةُ جَحِيمٍ,"and entry into hell.
Al Waqi’ah – The Inevitable"
[56:95],إِنَّ هَٰذَا لَهُوَ حَقُّ الْيَقِينِ,"Indeed this is certain truth.
Al Waqi’ah – The Inevitable"
[56:96],فَسَبِّحْ بِاسْمِ رَبِّكَ الْعَظِيمِ,"So celebrate the Name of your Lord, the All-supreme!
Al Waqi’ah – The Inevitable"
