Line id,Arabic text,Translation
,يَا كَفِيُّ يَا وَفِيُّ,"O Sufficient One, O Faithful One"
,يَا مَنْ لُطْفُهُ خَفِيٌّ,O You whose kindness is hidden
,اِلْطُفْ لِيْ بِلُطْفِكَ,Be kind to me with Your kindness
,وَأَسْعِدْنِيْ بِعَفْوِكَ,And make me happy with Your pardon
,وَأَيِّدْنِيْ بِنَصْرِكَ,And support me with Your help
,وَلَا تُنْسِنِيْ كَرِيمَ ذِكْرِكَ بِوُلَاةِ أَمْرِكَ,And do not make me forget Your noble remembrance through the guardians of Your affairs
,وَحَفَظَةِ سِرِّكَ,And the keepers of Your secrets
,وَاحْفَظْنِيْ مِنْ شَوَائِبِ الدَّهْرِ,And protect me from the vicissitudes of time
,إِلَى يَوْمِ الْحَشْرِ وَالنَّشْرِ,Until the Day of Gathering and Resurrection
,وَأَشْهِدْنِيْ أَوْلِيَاءَكَ عِنْدَ خُرُوجِ نَفْسِي,And let me witness Your friends at the time of my soul's departure
,وَحُلُوْلِ رَمْسِي,And when I enter my grave
,وَانْقِطَاعِ عَمَلِي,And when my deeds come to an end
,وَانْقِضَاءِ أَجَلِي,And when my appointed time expires
,اَللَّهُمَّ وَاذْكُرْنِيْ عَلَى طُولِ الْبِلَى,"O Allah, remember me throughout the long decay"
,إِذَا حَلَلْتُ بَيْنَ أَطْبَاقِ الثَّرَى,When I am laid between the layers of earth
,وَنَسِيَنِيْ النَّاسُونَ مِنَ الْوَرَى,And when I am forgotten by those who forget among mankind
,وَاحْلِلْنِيْ دَارَ الْمُقَامَةِ,And settle me in the abode of permanence
,وَبَوِّئْنِيْ مَنْزِلَ الْكَرَامَةِ,And provide me with a place of honor
,وَاجْعَلْنِيْ مِنْ مُرَافِقِيْ أَوْلِيَائِكَ,And make me among the companions of Your friends
,وَأَهْلِ اجْتِبَائِكَ وَ اَصْطِفَائِكَ,And the people of Your selection and choosing
,وَبَارِكْ لِيْ فِيْ لِقَائِكَ,And bless me in meeting You
,وَارْزُقْنِيْ حُسْنَ الْعَمَلِ قَبْلَ حُلُوْلِ الْأَجَلِ,And grant me good deeds before the arrival of death
,بَرِيئًا مِنَ الزَّلَلِ وَسُوءَ الْخَطَلِ,Free from errors and evil speech
,اَللَّهُمَّ وَأَوْرِدْنِيْ حَوْضَ نَبِيِّكَ مُحَمَّدٍ,"O Allah, bring me to the pool of Your Prophet Muhammad"
,صَلَّى اللَّهُ عَلَيْهِ وَ آلِهِ,May Allah's blessings be upon him and his family
,وَاسْقِنِيْ مِنْهُ مَشْرَبًا رَوِيًّا,And quench my thirst from it with a satisfying drink
,سَائِغًا هَنِيئًا,Pleasant and wholesome
,لَا أَظْمَأُ بَعْدَهُ وَلَا أُحَلَّأُ وِرْدَهُ,"After which I will never thirst, nor be prevented from approaching it"
,وَلَا عَنْهُ أُذَادُ,Nor be driven away from it
,وَاجْعَلْهُ لِيْ خَيْرَ زَادٍ,And make it for me the best provision
,وَأَوْفَى مِيعَادٍ يَوْمَ يَقُومُ الْأَشْهَادُ,And the most complete appointment on the Day when witnesses stand
,اَللَّهُمَّ وَالْعَنْ جَبَابِرَةَ الْأَوَّلِينَ وَالْآخِرِينَ,"O Allah, curse the tyrants of the first and the last"
,وَبِحُقُوقِ أَوْلِيَائِكَ الْمُسْتَأْثِرِينَ,And those who usurped the rights of Your friends
,اَللَّهُمَّ وَاقْصِمْ دَعَائِمَهُمْ,"O Allah, break their pillars"
,وَأَهْلِكْ أَشْيَاعَهُمْ وَعَامِلَهُمْ,And destroy their followers and their helpers
,وَعَجِّلْ مَهَالِكَهُمْ,And hasten their destruction
,وَاسْلُبْهُمْ مَمَالِكَهُمْ,And strip them of their kingdoms
,وَضَيِّقْ عَلَيْهِمْ مَسَالِكَهُمْ,And make their paths narrow for them
,وَالْعَنْ مُسَاهِمَهُمْ وَمُشَارِكَهُمْ,And curse their contributors and their partners
,اَللَّهُمَّ وَعَجِّلْ فَرَجَ أَوْلِيَائِكَ,"O Allah, hasten the relief of Your friends"
,وَارْدُدْ عَلَيْهِمْ مَظَالِمَهُمْ,And return to them what was taken from them unjustly
,وَأَظْهِرْ بِالْحَقِّ قَائِمَهُمْ,And make their leader appear with the truth
,وَاجْعَلْهُ لِدِينِكَ مُنْتَصِرًا,And make him victorious for Your religion
,وَبِأَمْرِكَ فِيْ أَعْدَائِكَ مُؤْتَمِرًا,And obedient to Your command regarding Your enemies
,اَللَّهُمَّ احْفُفْهُ بِمَلَائِكَةِ النَّصْرِ,"O Allah, surround him with the angels of victory"
,وَبِمَا أَلْقَيْتَ إِلَيْهِ مِنَ الْأَمْرِ,And with what You have revealed to him of the command
,فِيْ لَيْلَةِ الْقَدْرِ,On the Night of Decree
,مُنْتَقِمًا لَكَ حَتَّى تَرْضَى,As an avenger for You until You are pleased
,وَيَعُودَ دِينُكَ بِهِ وَعَلَى يَدَيْهِ جَدِيدًا غَضًّا,"And so that Your religion returns through him and by his hands, fresh and new"
,وَيَمْحَضَ الْحَقَّ مَحْضًا,And so that truth becomes purely truth
,وَيَرْفُضَ الْبَاطِلَ رَفْضًا,And falsehood is completely rejected
,اَللَّهُمَّ صَلِّ عَلَيْهِ وَعَلَى جَمِيْعِ آبَائِهِ,"O Allah, bless him and all his forefathers"
,وَاجْعَلْنَا مِنْ صَحْبِهِ وَأُسْرَتِهِ,And make us among his companions and his family
,وَابْعَثْنَا فِيْ كَرَّتِهِ,And resurrect us in his return
,حَتَّى نَكُونَ فِيْ زَمَانِهِ مِنْ أَعْوَانِهِ,So that we may be among his helpers in his time
,اَللَّهُمَّ أَدْرِكْ بِنَا قِيَامَهُ,"O Allah, let us witness his rising"
,وَأَشْهِدْنَا أَيَّامَهُ,And let us witness his days
,وَصَلِّ عَلَيْهِ وَارْدُدْ إِلَيْنَا سَلَامَهُ,And bless him and convey to us his greeting
,وَالسَّلَامُ عَلَيْهِ وَرَحْمَةُ اللَّهِ وَبَرَكَاتُهُ,And peace be upon him and Allah's mercy and blessings
